Year,Fig.1.1997.Be10.anom.,Fig.3.2000.TSI.W.m2,Fig.1.2007.TSI.W.m2,Geomag.corr.Yang.TSI.W/m2
843,-76,1366.2,1365.9,1365.2
851,-55,1366,1365.7,1365
858,-71,1366.2,1365.8,1365.2
868,-50,1366,1365.7,1365
876,-111,1365.9,1365.6,1364.9
884,-13,1365.8,1365.5,1364.9
893,-26,1365.7,1365.3,1364.7
901,37,1365.8,1365.5,1364.8
909,-42,1365.5,1365.2,1364.6
923,45,1366,1365.6,1365
926,-189,1366.2,1365.9,1365.3
936,150,1366.4,1366.1,1365.5
945,-392,1366.7,1366.3,1365.7
947,-171,1366.6,1366.3,1365.7
955,-66,1366.5,1366.2,1365.6
964,-184,1366.7,1366.4,1365.8
973,113,1366.3,1366,1365.4
985,-111,1366,1365.7,1365.1
992,-163,1365.9,1365.6,1365
998,-68,1365.8,1365.5,1364.9
1004,161,1365.6,1365.4,1364.8
1012,-26,1365.1,1364.8,1364.2
1028,-121,1364.5,1364.2,1363.7
1035,184,1364.2,1363.9,1363.4
1044,353,1364,1363.8,1363.2
1054,234,1363.9,1363.6,1363.1
1062,76,1363.9,1363.7,1363.1
1068,211,1364.5,1364.3,1363.7
1075,32,1365.2,1364.9,1364.4
1083,-71,1365.7,1365.5,1365
1092,-213,1366,1365.7,1365.2
1108,-95,1366.5,1366.3,1365.8
1114,-113,1367.1,1366.8,1366.3
1124,-26,1367.1,1366.8,1366.3
1132,-250,1367.2,1366.9,1366.4
1134,-439,1367.3,1367,1366.5
1138,-21,1367.4,1367.1,1366.6
1146,-245,1367.4,1367.2,1366.7
1155,-145,1367.2,1367,1366.5
1161,-189,1366.9,1366.6,1366.2
1166,-132,1367,1366.8,1366.3
1174,-113,1366.7,1366.5,1366
1180,-129,1366.8,1366.6,1366.1
1191,-189,1366.8,1366.6,1366.2
1197,13,1367.1,1366.9,1366.4
1203,-274,1367.2,1367,1366.5
1213,-179,1367.1,1366.9,1366.4
1232,-316,1367,1366.8,1366.4
1233,-158,1367.1,1366.9,1366.5
1237,29,1366.8,1366.6,1366.1
1253,-176,1366.3,1366.1,1365.7
1257,-126,1365.8,1365.6,1365.2
1261,-26,1365.7,1365.5,1365.1
1273,195,1365.8,1365.6,1365.2
1280,32,1365.6,1365.4,1365
1287,-129,1365.5,1365.3,1364.9
1294,-92,1365.4,1365.2,1364.8
1300,24,1365.2,1365,1364.7
1310,24,1365,1364.9,1364.5
1322,111,1364.8,1364.7,1364.3
1334,261,1364.9,1364.7,1364.4
1339,68,1365.3,1365.2,1364.8
1346,-39,1365.4,1365.2,1364.9
1356,-134,1365.6,1365.4,1365.1
1373,-313,1366,1365.8,1365.5
1383,145,1366,1365.8,1365.5
1391,68,1365.9,1365.7,1365.4
1395,-147,1365.6,1365.5,1365.2
1400,55,1365.1,1365,1364.7
1407,-5,1365,1364.8,1364.5
1414,21,1364.8,1364.7,1364.4
1420,174,1364.3,1364.2,1363.9
1427,245,1364.1,1363.9,1363.7
1433,95,1363.3,1363.2,1363
1441,239,1362.6,1362.5,1362.3
1446,163,1362.5,1362.4,1362.3
1451,603,1362.6,1362.5,1362.3
1458,603,1362.4,1362.3,1362.1
1463,50,1362.6,1362.5,1362.4
1469,121,1362.8,1362.7,1362.5
1476,313,1363.5,1363.4,1363.2
1481,126,1364.1,1364,1363.9
1492,192,1364,1363.9,1363.7
1504,39,1363.9,1363.8,1363.7
1511,3,1364,1363.9,1363.7
1518,258,1363.7,1363.6,1363.5
1526,255,1363.5,1363.5,1363.3
1534,211,1363.3,1363.2,1363.1
1540,326,1363.1,1363.1,1363
1549,216,1363.3,1363.2,1363.1
1559,200,1363.3,1363.2,1363.1
1576,150,1363.7,1363.7,1363.6
1584,182,1364.3,1364.3,1364.1
1593,261,1364.8,1364.7,1364.6
1600,-161,1365.3,1365.2,1365.1
1608,-111,1365.5,1365.4,1365.2
1624,-47,1365.8,1365.8,1365.6
1631,-166,1365.9,1365.9,1365.7
1638,161,1365.4,1365.3,1365.2
1645,-147,1365.1,1365.1,1365
1652,134,1364.7,1364.7,1364.6
1659,255,1364.1,1364.1,1364
1667,42,1364,1364,1364
1673,216,1363.9,1363.9,1363.8
1676,326,1363.5,1363.5,1363.5
1680,108,1363.5,1363.5,1363.5
1688,-34,1363.3,1363.3,1363.3
1690,524,1363.4,1363.5,1363.5
1705,158,1363.8,1363.8,1363.8
1712,245,1364.2,1364.2,1364.1
1720,61,1364.7,1364.7,1364.6
1727,-24,1365.7,1365.7,1365.6
1735,-116,1366.1,1366.1,1366
1739,-279,1366.6,1366.6,1366.5
1747,-229,1366.9,1366.8,1366.7
1755,-26,1367,1367,1366.8
1763,-139,1367.1,1367.1,1367
1771,-142,1366.9,1366.9,1366.8
1779,-197,1366.3,1366.2,1366.2
1787,-247,1366,1366,1365.9
1809,-34,1365.6,1365.6,1365.6
1816,371,1365.3,1365.3,1365.4
1823,66,1365.1,1365.1,1365.1
1829,18,1364.9,1364.9,1364.9
1835,-21,1365.2,1365.2,1365.2
1842,-21,1365.9,1365.9,1365.9
1850,21,1366.2,1366.2,1366.2
1857,-205,1366.4,1366.4,1366.4
1865,-176,1366.5,1366.5,1366.5
1878,-118,1366.4,1366.4,1366.4
1885,-145,1366.3,1366.3,1366.3
1892,-34,1366.1,1366.1,1366.1
1899,87,1365.9,1365.9,1365.9
1906,-45,1365.9,1365.9,1366
1912,-39,1365.9,1365.9,1366
1920,-53,1366.2,1366.2,1366.3
1928,-174,1366.6,1366.6,1366.6
1935,-76,1366.8,1366.8,1366.8
1944,-232,1367.1,1367.1,1367.1
1950,-200,1367,1367,1367
1961,-176,1366.9,1366.9,1366.9
1969,-266,,,
1975,103,,,
1982,-126,,,
